Season,Age,Team,Lg,WAR,G,PA,AB,R,H▼,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
2013,21,LAA,AL,8.9,157,716,589,109,190,39,9,27,97,33,7,110,136,.323,.432,.557,.988,179,.439,187,328,8,9,0,8,10,*87/D,ASMVP-2SS
2012,20,LAA,AL,10.5,139,639,559,129,182,27,8,30,83,49,5,67,139,.326,.399,.564,.963,168,.430,173,315,7,6,0,7,4,*87/9H,ASMVP-2ROY-1SS
2016,24,LAA,AL,10.5,159,681,549,123,173,32,5,29,100,30,7,116,137,.315,.441,.550,.991,173,.435,182,302,5,11,0,5,12,*8D/H,ASMVP-1SS
2014,22,LAA,AL,7.7,157,705,602,115,173,39,9,36,111,16,2,83,184,.287,.377,.561,.939,169,.413,171,338,6,10,0,10,6,*8/D,ASMVP-1SS
2015,23,LAA,AL,9.6,159,682,575,104,172,32,6,41,90,11,7,92,158,.299,.402,.590,.991,176,.419,179,339,11,10,0,5,14,*8/D,ASMVP-2SS
2018,26,LAA,AL,9.9,140,608,471,101,147,24,4,39,79,24,2,122,124,.312,.460,.628,1.088,198,.455,194,296,5,10,0,4,25,*8D/H,ASMVP-2SS
2019,27,LAA,AL,7.9,134,600,470,110,137,27,2,45,104,11,2,110,120,.291,.438,.645,1.083,182,.444,181,303,5,16,0,4,14,*8D/H,ASMVP-1SS
2022,30,LAA,AL,6.2,119,499,438,85,124,28,2,40,80,1,0,54,139,.283,.369,.630,.999,176,.425,179,276,6,6,0,1,8,*8/DH,ASMVP-8SS
2017,25,LAA,AL,6.9,114,507,402,92,123,25,3,33,72,22,4,94,90,.306,.442,.629,1.071,186,.451,188,253,8,7,0,4,15,8/D,ASMVP-4
2023,31,LAA,AL,2.9,82,362,308,54,81,14,1,18,44,2,0,45,104,.263,.367,.490,.858,132,.366,129,151,4,7,0,2,2,8/DH,AS
2020,28,LAA,AL,1.8,53,241,199,41,56,9,2,17,46,1,1,35,56,.281,.390,.603,.993,167,.414,163,120,1,3,0,4,4,*8/D,MVP-5SS
2021,29,LAA,AL,1.8,36,146,117,23,39,8,1,8,18,2,0,27,41,.333,.466,.624,1.090,194,.450,189,73,0,2,0,0,5,8,AS
2011,19,LAA,AL,0.5,40,135,123,20,27,6,0,5,16,4,0,9,30,.220,.281,.390,.672,89,.319,97,48,2,2,0,1,0,897/HD,
2024,32,LAA,AL,1.1,29,126,109,17,24,1,2,10,14,6,1,16,27,.220,.325,.541,.867,140,.372,136,59,0,1,0,0,1,8/D,
14 Yrs,14 Yrs,14 Yrs,14 Yrs,86.2,1518,6647,5511,1123,1648,311,54,378,954,212,38,980,1485,.299,.410,.581,.991,173,.426,175,3201,68,100,0,55,120,87D9H,
162 Game Avg,162 Game Avg,162 Game Avg,162 Game Avg,9.2,162,709,588,120,176,33,6,40,102,23,4,105,158,.299,.410,.581,.991,173,.426,175,342,7,11,0,6,13,,
